Date,Close,Volume,Open,High,Low
2025-11-14,671.93,96846670,665.38,675.66,663.265
2025-11-13,672.04,103457800,680.5,680.86,670.52
2025-11-12,683.38,62312480,684.79,684.96,680.945
2025-11-11,683,58953390,679.95,683.57,678.73
2025-11-10,681.44,75842890,677.235,682.18,675.03
2025-11-07,670.97,100592400,667.91,671.08,661.205
2025-11-06,670.31,85035300,676.47,677.38,668.72
2025-11-05,677.58,74402380,674.98,680.86,674.17
2025-11-04,675.24,78426970,676.11,679.96,674.58
2025-11-03,683.34,57315030,685.67,685.8,679.94
2025-10-31,682.06,87164120,685.04,685.08,679.24
2025-10-30,679.83,76335750,683.9,685.94,679.83
2025-10-29,687.39,85362210,688.72,689.7,682.87
2025-10-28,687.06,61738070,687.05,688.905,684.83
2025-10-27,685.24,63339790,682.73,685.54,682.115
2025-10-24,677.25,74356530,676.46,678.47,675.65
2025-10-23,671.76,65604460,668.12,672.7101,667.8
2025-10-22,667.8,80564010,672,672,663.3
2025-10-21,671.29,56249030,671.44,672.99,669.981
2025-10-20,671.3,60493350,667.32,672.21,667.27
2025-10-17,664.39,96500870,659.5,665.755,658.14
2025-10-16,660.64,110563300,666.82,668.71,657.11
2025-10-15,665.17,81702560,666.82,670.23,658.93
2025-10-14,662.23,88779560,657.17,665.83,653.17
2025-10-13,663.04,79560520,660.65,665.13,659.7679
2025-10-10,653.02,159422600,672.13,673.95,652.84
2025-10-09,671.16,66501940,673.53,673.94,669.21
2025-10-08,673.11,60702240,670.25,673.2056,669.42
2025-10-07,669.12,72020070,672.54,672.99,667.67
2025-10-06,671.61,54623260,671.62,672.51,669.455
2025-10-03,669.21,70494350,669.99,672.675,668.16
2025-10-02,669.22,56895990,670.45,670.565,666.78
2025-10-01,668.45,72545370,663.17,669.37,663.06
2025-09-30,666.18,86288030,662.93,666.65,661.61
2025-09-29,663.68,73499020,664.36,665.28,661.86
2025-09-26,661.82,69179210,659.51,662.37,657.88
2025-09-25,658.05,89622070,657.94,659.4056,654.405
2025-09-24,661.1,68082230,664.51,664.61,659.67
2025-09-23,663.21,81708870,666.72,667.34,661.98
2025-09-22,666.84,69452200,662.2,667.29,662.17
